"시도명","시군구명","운영방식","업체명","지원기준"
"충남","서산시","위탁","성심의료기","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"충남","논산시","공모","충청의료기","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"충남","논산시","공모","혜승의료기","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"충남","계룡시","공모","충남장애인보장구센터","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"충남","당진시","공모","100세동안 당진점","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"충남","금산군","공모","행복이음의료기","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"충남","부여군","위탁","천사의료기","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"충남","서천군","공모","나드리메디칼케어","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"충남","청양군","공모","백세의료기","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"충남","홍성군","공모","충남장애인보장구센터","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"충남","예산군","공개모집","충무휠체어","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"충남","태안군","업체직접운영","태안의료기복지센터","○ 수급자, 차상위 : 30만원 / ○ 일반 : 20만원"
"전북","부안군","위탁","부안군장애인연합회","-수급자,차상위:30만원 / -일반:15만원"
"전북","군산시","직접수행","(사)전라북도 척수장애인협회 군산지회","-수급자,차상위:20만원 / -기초연금,장애연금수급자:10만원"
"전북","군산시","직접수행","세진엠케어","-수급자,차상위:20만원 / -기초연금,장애연금수급자:10만원"
"전북","군산시","직접수행","나드리메디칼케어","-수급자,차상위:20만원 / -기초연금,장애연금수급자:10만원"
"전북","군산시","직접수행","하늘케어","-수급자,차상위:20만원 / -기초연금,장애연금수급자:10만원"
"전북","군산시","직접수행","군산의료보조공학센터","-수급자,차상위:20만원 / -기초연금,장애연금수급자:10만원"
"전북","군산시","직접수행","조은의료기","-수급자,차상위:20만원 / -기초연금,장애연금수급자:10만원"
"전북","정읍시","위탁","전북지체장애인협회정읍시지회","-기초수급자90%보조 / -일반50%보조"
"전북","김제시","위탁","새한의료기","-수급자,차상위:20만원 / -일반:10만원"
"전북","진안군","위탁","지체장애인협회","-수급자,차상위:20만원 / -일반:10만원"
"전북","순창군","위탁","순창건강의료기","-수급자,차상위:20만원 / -일반:10만원"
"전북","완주군","위탁","완주군장애인복지관","- 수급자, 차상위 연간 30만원 이내"
"전북","남원시","위탁","전북지체장애인협회남원시지부","-지원액 : 연간20만원 / -수급자 : 10% 자부담 / -차상위 : 20% 자부담 / -일반 : 50% 자부담"
"전북","익산시","위탁","전북지체장애인협회익산시지회","- 수급자, 차상위 : 20만원 / - 일반 : 10만원"
"전북","전주시","직접수행","전주시보장구수리센터","- 수급자, 차상위 : 20만원 / - 일반 : 10만원"
"전북","전주시","직접수행","(사)전주시장애인정보교환센터","- 수급자, 차상위 : 20만원 / - 일반 : 10만원"
"전남","순천시","위탁","순천시장애인종합복지관","-수급자,차상위:최대30만원 / -일반:최대15만원"
"경북","포항시","위탁","포항시북부장애인종합복지관","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원"
"경북","포항시","위탁","신체장애인보장구수리센터","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원"
"경북","포항시","위탁","동산보청기의료기","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원"
"경북","포항시","위탁","삼성의료기","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원"
"경북","구미시","직접수행","사)한국척수장애인협회 구미시지회","○ 수급자, 차상위: 15만원 / ○ 일반 : 8만원"
"경북","구미시","직접수행","명성의료기","○ 수급자, 차상위: 15만원 / ○ 일반 : 8만원"
"경북","구미시","직접수행","소망의료기","○ 수급자, 차상위: 15만원 / ○ 일반 : 8만원"
"경북","구미시","직접수행","헬스마트","○ 수급자, 차상위: 15만원 / ○ 일반 : 8만원"
"경북","영천시","위탁","한국지체장애인협회 영천시지회","○ 개인별 연간 10만원 이내"
"경북","상주시","보조사업","(사)한국척수장애인경북협회 상주시지회","중증장애인 무료"
"경북","경산시","위탁","우리앤의료기","○ 수급자, 차상위: 50만원 / ○ 일반 : 30만원"
"경북","경산시","위탁","우리의료기","○ 수급자, 차상위: 50만원 / ○ 일반 : 30만원"
"경북","경산시","위탁","경산휠체어","○ 수급자, 차상위: 50만원 / ○ 일반 : 30만원"
"경북","청도군","직접운영(업체지정)","대성오토바이상사","1인 연간20만원 한도 / 기초생활수급자, 차상위 : 수리비의 90% / 일반 장애인 : 수리비의 80%"
"경북","청도군","직접운","HB메디컬","1인 연간20만원 한도 / 기초생활수급자, 차상위 : 수리비의 90% / 일반 장애인 : 수리비의 80%"
"경북","울진군","직접운영","행복의료기","○ 수급자, 차상위: 최대 30만원 / ○ 일반 : 최대 15만원"
"경북","울진군","직접운영","디엔에이의료기기","○ 수급자, 차상위: 최대 30만원 / ○ 일반 : 최대 15만원"
"경남","도 전역","위탁","(사)경남지체장애인연합회회","○ 수급자, 차상위 : 40만원 이내 / ○ 일반 : 20만원 이내"
"경남","창원시","위탁","창원시장애인종합복지관","1인당 30만원한도 기준 / ○ 수급자: 전액지원 / ○ 차상위: 80%지원 / ○ 차상위초과: 50%지원"
"경남","진주시","위탁","진주시장애인종합복지관","○ 수급자 : 무료 / ○ 차상위 : 10% 본인부담 / ○ 일반 : 60% 본인부담"
"경남","통영시","위탁","통영시장애인종합복지관","○ 보장구 사용 통영지역민 누구나 / ○ 타이어, 튜브 등 소모품 교체, 일반 부품 무료 지원 / * 고비용 부품 수리 교체 건 발생 시 경상남도 수리센터연계 또는 본인부담 발생"
"경남","사천시","위탁","(사)경남지체장애인연합회사천시지회","○ 수급자, 차상위 : 30만원 이내 / ○ 일반 : 15만원 이내"
"경남","김해시","위탁","김해시장애인종합복지관","○ 수급자, 차상위: 30만원 / ○ 일반 : 20만원"
"경남","거제시","위탁","거제시 장애인자립생활지원센터","○ 수급자, 차상위: 40만원 / ○ 일반 : 20만원"
"경남","양산시","지원사업 수행기관 공모","양산시장애인복지관","○ 수급자, 차상위: 40만원 / ○ 일반 : 20만원 한도 내 수리비의 50%"
"경남","함안군","직접수행(보조금 지원)","현대메디칼","○ 수급자, 차상위: 40만원 / ○ 일반 : 30만원"
"경남","남해군","수리업체지정(계약)","남해독일보청기","○ 수급자 : 30만원 / ○ 차상위 : 20만원 / ○ 일반 : 10만원"
"경남","하동군","위탁","경남하동군장애인편의증진기술지원센터","○ 수급자, 차상위 : 30만원 / ○ 일반 : 15만원"
"경남","거창군","직접수행(보조금 지원)","","30만원 한도 내"
"제주","제주시","지정","사회복지법인 삼다","○ 수급자, 차상위: 40만원 / ○ 일반 : 30만원"
"제주","서귀포시","지정","서귀포시장애인자립생활센터","소득구분없이 연30만원 수리비용 지원"
"제주","제주시","보조사업","제주장애인자립생활센터","전동휠체어 / 수급자,차상위 40만원, 일반 32만원 / 그 외 품목 / 수급자, 차상위 25만원, 일반 20만원 /"
"강원","원주시","지정","케어존 동부점","○ 수급자, 차상위: 20만원 / ○ 일반 : 10만원"
"강원","영월군","위탁","영월군장애인협회","○ 수급자: 20만원 / ○ 차상위: 10만원 / ○ 일 반: 출장비 무료"
"강원","원주시","지정","중앙의료기","○ 수급자, 차상위: 20만원 / ○ 일반 : 10만원"
